Leaf     Subleaf    EAX            EBX            ECX            EDX            
00000000 00000000:  0000000d ....  756e6547 Genu  6c65746e ntel  49656e69 ineI
00000001 00000000:  0001067a z...  00020800 ....  0c08e39d ....  bfebfbff ....
00000002 00000000:  05b0b101 ....  005657f0 .WV.  00000000 ....  2cb4307d }0.,
00000003 00000000:  00000000 ....  00000000 ....  00000000 ....  00000000 ....
00000004 00000000:  04000121 !...  01c0003f ?...  0000003f ?...  00000001 ....
00000004 00000001:  04000122 "...  01c0003f ?...  0000003f ?...  00000001 ....
00000004 00000002:  04004143 CA..  01c0003f ?...  00000fff ....  00000001 ....
00000005 00000000:  00000040 @...  00000040 @...  00000003 ....  00022220  "..
00000006 00000000:  00000001 ....  00000002 ....  00000003 ....  00000000 ....
00000007 00000000:  00000000 ....  00000000 ....  00000000 ....  00000000 ....
00000008 00000000:  00000400 ....  00000000 ....  00000000 ....  00000000 ....
00000009 00000000:  00000000 ....  00000000 ....  00000000 ....  00000000 ....
0000000a 00000000:  07280202 ..(.  00000000 ....  00000000 ....  00000503 ....
0000000b 00000000:  00000000 ....  00000000 ....  00000000 ....  00000000 ....
0000000c 00000000:  00000000 ....  00000000 ....  00000000 ....  00000000 ....
0000000d 00000000:  00000003 ....  00000240 @...  00000240 @...  00000000 ....
80000000 00000000:  80000008 ....  00000000 ....  00000000 ....  00000000 ....
80000001 00000000:  00000000 ....  00000000 ....  00000001 ....  20100800 ... 
80000002 00000000:  65746e49 Inte  2952286c l(R)  726f4320  Cor  4d542865 e(TM
80000003 00000000:  44203229 )2 D  43206f75 uo C  20205550 PU    54202020    T
80000004 00000000:  30303636 6600  20402020   @   30322e32 2.20  007a4847 GHz.
80000005 00000000:  00000000 ....  00000000 ....  00000000 ....  00000000 ....
80000006 00000000:  00000000 ....  00000000 ....  08006040 @`..  00000000 ....
80000007 00000000:  00000000 ....  00000000 ....  00000000 ....  00000000 ....
80000008 00000000:  00003024 $0..  00000000 ....  00000000 ....  00000000 ....
