CPU: ID 0x1067a, Processor Type 0x0, Family 0x6, Model 0x17, Stepping 0xa
Northbridge: 8086:2a40 (GL40/GS40/GM45/GS45/PM45)
Southbridge: 8086:2919 (ICH9M)

============= RCBA ==============

RCBA = 0xfed1c000 (MEM)

0x0000: 0x10010002
0x0004: 0x00000801
0x0008: 0x00000001
0x0010: 0x00000001
0x0014: 0x80000001
0x001c: 0x03128011
0x0020: 0x81080080
0x0030: 0x0000000f
0x0034: 0x000f0000
0x003c: 0x000000f0
0x0040: 0x0f000000
0x0048: 0x0000f000
0x0050: 0x0000000f
0x0054: 0x000f0000
0x005c: 0x000000f0
0x0060: 0x0f000000
0x0068: 0x0000f000
0x0088: 0x00109000
0x0090: 0x00002000
0x0094: 0x00002000
0x0100: 0x1a010005
0x0104: 0x00000802
0x0110: 0x01010001
0x0118: 0xfed18000
0x0120: 0x01000003
0x0128: 0x000e0000
0x0130: 0x02000003
0x0138: 0x000e1000
0x0140: 0x03000002
0x0148: 0x000e2000
0x0150: 0x04000003
0x0158: 0x000e3000
0x0160: 0x0f000003
0x0168: 0x000d8000
0x0170: 0x05000002
0x0178: 0x000e4000
0x0180: 0x06000003
0x0188: 0x000e5000
0x01a0: 0x00010006
0x01a4: 0x00012441
0x01a8: 0x00410000
0x01f0: 0x00000001
0x01f4: 0x86000040
0x01fc: 0x0000060b
0x0200: 0x01102008
0x0208: 0x04210044
0x0210: 0x0000f710
0x0220: 0x00000045
0x0228: 0x04124aaa
0x0230: 0x00010000
0x0234: 0x00000003
0x0238: 0x00543210
0x023c: 0x00000800
0x0240: 0x00310771
0x0244: 0x00370789
0x0248: 0x002c0b8f
0x024c: 0x00da0000
0x0250: 0x00e00000
0x0254: 0x00d50fb1
0x0258: 0x00d60c5e
0x0260: 0x00cb0fc8
0x0268: 0x00030018
0x0270: 0x00030000
0x0274: 0x00040010
0x0278: 0x000d0886
0x027c: 0x00110896
0x0280: 0x00810000
0x0284: 0x00870000
0x0288: 0x00560620
0x0f20: 0xb2b577cc
0x0f24: 0x000000c3
0x0f28: 0x001ff800
0x0f2c: 0x00100fff
0x0f30: 0x00000780
0x1d3c: 0x0000000a
0x1d48: 0x00030000
0x1e88: 0x00000cf9
0x1e8c: 0x000000c2
0x2010: 0x00080001
0x2014: 0x14000016
0x2018: 0xbc4abcb5
0x2020: 0x00c9605b
0x2024: 0x0b203040
0x2028: 0x04b8f131
0x202c: 0x0ddd0132
0x2030: 0x00004454
0x2034: 0xb2b577cc
0x2044: 0x000000c3
0x204c: 0x001fe000
0x2050: 0x00101fff
0x2054: 0x00000383
0x2060: 0x81000000
0x2080: 0x18206006
0x2088: 0x00000260
0x208c: 0x0006000c
0x2090: 0x3e000000
0x20a0: 0x18206006
0x20a8: 0x00000260
0x20ac: 0x0006000c
0x20b0: 0x39000000
0x20c0: 0x18206006
0x20c8: 0x00000260
0x20cc: 0x0006000c
0x20d0: 0x36000000
0x20e0: 0x18206006
0x20e8: 0x00000260
0x20ec: 0x0006000c
0x20f0: 0x38000000
0x3100: 0x03243200
0x3108: 0x10000321
0x310c: 0x00214321
0x3110: 0x00000001
0x3114: 0x30000421
0x3118: 0x00000001
0x3140: 0x00000232
0x3144: 0x32010237
0x3148: 0x00003216
0x314c: 0x00003250
0x3150: 0x00007654
0x31fc: 0x03000000
0x3400: 0x00000004
0x3404: 0x00000080
0x3410: 0x00000460
0x3418: 0x03140001
0x341c: 0xbf7f001f
0x3430: 0x00000002
0x3500: 0x0fff0fff
0x3504: 0x1b6db6db
0x3508: 0x0000001b
0x350c: 0x08000020
0x3510: 0x09008fb8
0x3528: 0x17001f81
0x352c: 0x000bc008
0x3530: 0x1800ff4f
0x3800: 0x00001fff
0x3804: 0x00002008
0x3808: 0x00000002
0x3810: 0xc2ffffff
0x3814: 0x00001420
0x3824: 0x4d494924
0x3828: 0x00024680
0x382c: 0x53544224
0x3830: 0x414d5048
0x3834: 0x30353055
0x3838: 0x05010920
0x383c: 0x00311210
0x3840: 0x00ffaaea
0x3844: 0x2f3130f0
0x3848: 0x302f3530
0x384c: 0x00fc0039
0x3850: 0x00000202
0x3854: 0x00001fff
0x3858: 0x00001fff
0x385c: 0x00001fff
0x3860: 0x00001fff
0x3864: 0x00001fff
0x3890: 0x00424004
0x3894: 0x543b0006
0x3898: 0x05d80302
0x389c: 0x0006019f
0x38b4: 0xffffffff
0x38c0: 0x00000007
0x38c4: 0x00002001
0x38c8: 0x00002001
0x3e00: 0xffffffff
0x3e04: 0xffffffff
0x3e08: 0xffffffff
0x3e0c: 0xffffffff
0x3e10: 0xffffffff
0x3e14: 0xffffffff
0x3e18: 0xffffffff
0x3e1c: 0xffffffff
0x3e20: 0xffffffff
0x3e24: 0xffffffff
0x3e28: 0xffffffff
0x3e2c: 0xffffffff
0x3e30: 0xffffffff
0x3e34: 0xffffffff
0x3e38: 0xffffffff
0x3e3c: 0xffffffff
0x3e40: 0xffffffff
0x3e44: 0xffffffff
0x3e48: 0xffffffff
0x3e4c: 0xffffffff
0x3e50: 0xffffffff
0x3e54: 0xffffffff
0x3e58: 0xffffffff
0x3e5c: 0xffffffff
0x3e60: 0xffffffff
0x3e64: 0xffffffff
0x3e68: 0xffffffff
0x3e6c: 0xffffffff
0x3e70: 0xffffffff
0x3e74: 0xffffffff
0x3e78: 0xffffffff
0x3e7c: 0xffffffff
0x3f00: 0x0000000b


